names,lat,lon,geometry,,100000
Purva Skydale bangalore,129269000,775510000,POINT (77.66236169999999 12.894033),,
Salarpuria Sattva Cadenza bangalore,129260000,775480000,POINT (77.64022109999999 12.889441),,
Shriram Summitt bangalore,129227000,775709000,POINT (77.6672418 12.8360678),,
Shriram Luxor bangalore,129147000,775727000,POINT (77.65491539999999 13.085249),,
Ecolife Elements Of Nature bangalore,129203000,775510000,POINT (77.73112619999999 12.9387277),,
Salarpuria Sattva East Crest bangalore,129151000,775456000,POINT (77.7482414 13.043223),,
Shriram Greenfield Phase 1 bangalore,129086000,775466000,POINT (77.75127239999999 13.0708496),,
Century Infiniti bangalore,129187000,775507000,POINT (77.6772502 12.8975268),,
Vaswani Exquisite bangalore,129131000,775631000,POINT (77.72427949999999 12.98979),,
Vaishnavi Gardenia bangalore,129296000,775807000,POINT (77.5194121 13.0425402),,
Bren Edgewaters bangalore,129121000,775610000,POINT (77.6699666 12.9022215),,
DSMAX SAROVAR bangalore,129097000,775508000,POINT (77.7818487 12.7815368),,
Niranjan Tridha bangalore,129175000,775696000,POINT (77.63616139999999 12.8810058),,
Bren Imperia bangalore,129262000,775719000,POINT (77.671808 12.9068814),,
Nandi Citadel bangalore,129106000,775664000,POINT (77.60688379999999 12.8613592),,
Sobha Avenue bangalore,129312000,775654000,POINT (77.74967880000001 13.0287887),,
Provident Sunworth bangalore,129324000,775718000,POINT (77.47058579999999 12.8818045),,
Purva Northern Waves bangalore,129204000,775558000,POINT (77.66295629999999 13.0630984),,
Prestige Falcon City bangalore,129100000,775488000,POINT (77.56377499999999 12.885663),,
Mahaveer Ranches bangalore,129335000,775790000,POINT (77.6708668 12.8783657),,
SNN Raj Etternia bangalore,129137000,775727000,POINT (77.6681103 12.8905902),,
Karsten Palm Groves bangalore,129228000,775649000,POINT (77.6961678 12.7741873),,
Salarpuria Sattva Celesta bangalore,129085000,775684000,POINT (77.703632 13.018456),,
DSMAX SKYCITY bangalore,129213000,775652000,POINT (77.6343988 13.0810365),,
Meda Greens bangalore,129294000,775694000,POINT (77.4926622 12.9206595),,
Phoenix One Bangalore West bangalore,129298000,775556000,POINT (77.5540958 13.0097168),,
Salarpuria Sattva Greenage Phase II bangalore,129087000,775483000,POINT (77.6313115 12.9024372),,
Mahidhara Fortune City bangalore,129222000,775531000,POINT (77.7830251 12.7748955),,
Candeur Carlisle bangalore,129178000,775699000,POINT (77.68995489999999 12.9969877),,
Arya Hamsa Grande bangalore,129075000,775495000,POINT (77.574026 12.8595081),,
Pashmina Waterfront bangalore,129132000,775734000,POINT (77.7116346 13.0244407),,
Purva Palm Beach bangalore,129154000,775450000,POINT (77.66260249999999 13.0631903),,
Prestige Song Of The South bangalore,129129000,775820000,POINT (77.6137471 12.8620814),,
Skylark Ithaca bangalore,129332000,775725000,POINT (77.73553369999999 13.0124263),,
Salarpuria Sattva Laurel Heights bangalore,129329000,775614000,POINT (77.507677 13.060724),,
Sumo Sonnet bangalore,129306000,775816000,POINT (77.6488791 12.889868),,
Kritan Ira bangalore,129153000,775816000,POINT (77.660999 12.8211271),,
MDVR Byrathi Residency bangalore,129337000,775637000,POINT (77.6572283 13.0536883),,
Candeur Landmark bangalore,129282000,775580000,POINT (77.7373607 12.9218714),,
Sterling Ascentia bangalore,129077000,775504000,POINT (77.68163299999999 12.92889),,
Vaishnavi Terraces bangalore,129121000,775703000,POINT (77.599514 12.904254),,
Sobha Dream Acres bangalore,129132000,775832000,POINT (77.7376639 12.9391021),,
PSR Krish Kamal bangalore,129233000,775655000,POINT (77.6435767 12.8404406),,
GP North Avenue bangalore,129314000,775505000,POINT (77.622828 13.0827637),,
Hiren High Cliff bangalore,129322000,775664000,POINT (77.6517185 12.9124433),,
JR Nexus bangalore,129245000,775711000,POINT (77.7018348 12.7715636),,
G Corp The Icon bangalore,129108000,775716000,POINT (77.62548389999999 13.0473654),,
Mahendra Aarna bangalore,129178000,775698000,POINT (77.6910718 12.8348265),,
Mittal Elanza bangalore,129140000,775700000,POINT (77.6208274 13.1036043),,
Mantri Energia bangalore,129126000,775689000,POINT (77.61948389999999 13.0543825),,
Prestige Misty Waters phase 1 bangalore,129117000,775461000,POINT (77.60162199999999 13.046145),,
Sobha Heritage bangalore,129086000,775844000,POINT (77.5290121 12.9312565),,
The County Address bangalore,129198000,775720000,POINT (77.78759119999999 12.8807869),,
Rohan Akriti bangalore,129102000,775495000,POINT (77.53818699999999 12.8904448),,
Salarpuria Sattva Divinity bangalore,129190000,775541000,POINT (77.5252055 12.9403192),,
Casagrand Lorenza bangalore,129160000,775763000,POINT (77.6331637 13.099928),,
Premier Inspira Maplewood bangalore,129344000,775738000,POINT (77.69931939999999 12.9054239),,
Orchid Whitefield bangalore,129172000,775645000,POINT (77.7575018 12.9643023),,
The Central Regency Address bangalore,129070000,775668000,POINT (77.67064019999999 12.9210342),,
Ahad Excellencia bangalore,129246000,775732000,POINT (77.69051469999999 12.8825179),,
